"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","","1","0","Course Details","0"
"1","","0","","6","0","","0"
"1","","0","","1","0","Search Functionality","0"
"1","","0","","1","0","Login Functionality","0"
"3","","0","","3","0","Footer Social Links","0"
"1","","0","","1","0","Registration","0"
"1","","0","","1","0","Course Card UI","0"
"0","","1","","0","0","End to End - Subscribe to Course","0"
"1","","0","","1","0","Registration Validation","0"
"0","","0","","1","0","Login Validation","0"
