"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Open a course details page and assert the 'About Course' section is displayed","20920","openCourseDetails","EYOUTH Automation Suite","2026-04-21","passed","2026-04-21","tests.TC02_CourseDetailsTest","Course Tests","tests.TC02_CourseDetailsTest","openCourseDetails"
"","30039","captureSearchResults","Diagnostic Suite","2026-04-21","broken","2026-04-21","tests.DiagnosticTest","Diagnostic","tests.DiagnosticTest","captureSearchResults"
"Search with a valid keyword and assert page navigates to search results","6356","searchWithValidKeyword","EYOUTH Automation Suite","2026-04-21","passed","2026-04-21","tests.TC01_SearchTest","Search Tests","tests.TC01_SearchTest","searchWithValidKeyword"
"","8400","captureHomePage","Diagnostic Suite","2026-04-21","passed","2026-04-21","tests.DiagnosticTest","Diagnostic","tests.DiagnosticTest","captureHomePage"
"","0","setUp","EYOUTH Automation Suite","2026-04-20","broken","2026-04-20","tests.TC05_LoginInvalidCredentialsTest","Login Tests","tests.TC05_LoginInvalidCredentialsTest","setUp"
"Click Facebook icon in footer and assert URL contains facebook.com","4542","verifyFacebookLink","EYOUTH Automation Suite","2026-04-21","passed","2026-04-21","tests.TC08_FacebookLinkTest","Footer Social Links Tests","tests.TC08_FacebookLinkTest","verifyFacebookLink"
"","0","setUp","EYOUTH Automation Suite","2026-04-20","broken","2026-04-20","tests.TC03_RegistrationPageTest","Registration Tests","tests.TC03_RegistrationPageTest","setUp"
"Verify the first course card contains image, title, instructor name, and subscribe button","15581","verifyCourseCardUI","EYOUTH Automation Suite","2026-04-21","passed","2026-04-21","tests.TC11_CourseCardUITest","Course Tests","tests.TC11_CourseCardUITest","verifyCourseCardUI"
"","1","setUp","EYOUTH Automation Suite","2026-04-20","broken","2026-04-20","tests.TC01_SearchTest","Search Tests","tests.TC01_SearchTest","setUp"
"","15726","captureLoginAttempt","Diagnostic Suite","2026-04-21","passed","2026-04-21","tests.DiagnosticTest","Diagnostic","tests.DiagnosticTest","captureLoginAttempt"
